policy_no,policy_name,client_name,state,industry
NCI8356V,1000 MILE TRAVEL GROUP PTY LTD,1000 MILE TRAVEL GROUP PTY LTD,VIC,MISCELLANEOUS
P120000693,2020 FURNITURE DESIGN LTD,2020 FURNITURE DESIGN LTD,,FURNITURE / FLOORS
NCI5944Q,20CUBE LOGISTICS PTY LTD,20CUBE LOGISTICS PTY LTD,QLD,FREIGHT FORWARDERS
AU21091000,20CUBE LOGISTICS PTY LTD,20CUBE LOGISTICS PTY LTD,QLD,FREIGHT FORWARDERS
NCI8898N,212IGNITE PTY LTD,ATOMIC SEARCH PTY LTD,NSW,ADVERTISING
TW-11250,3.14 DEGREE PTY LTD,3.14 DEGREE PTY LTD,VIC,FURNITURE / FLOORS
NCI7662N,303 MULLENLOWE AUSTRALIA PTY LTD,ATTIVO LIMITED,NSW,ADVERTISING
AU22094200,303 MULLENLOWE AUSTRALIA PTY LTD,ATTIVO LIMITED,NSW,ADVERTISING
546401,3A COMPOSITES ASIA PACIFIC PTE LTD,3A COMPOSITES ASIA PACIFIC PTE LTD,,MAJOR STEEL
AU25146800,3D COMMERCIAL PTY LTD,3D COMMERCIAL PTY LTD,VIC,BUILDING / HARDWARE
NCI8975S,3D SITEWORXS PTY LTD,3D SITEWORXS PTY LTD,SA,BUILDING / HARDWARE
1480106-1,3D SITEWORXS PTY LTD,3D SITEWORXS PTY LTD,SA,BUILDING / HARDWARE
284617001,4SYTE LTD,4SYTE LTD,,FINANCE
T106724,7 FACADE PTY LIMITED,7 FACADE PTY LIMITED,NSW,BUILDING / HARDWARE
T106641,701RECRUITMENT PTY LTD,701RECRUITMENT PTY LTD,QLD,EMPLOYMENT AGENCIES
1000182799,786 SG PTE. LTD.,MEGA PACKERS ASSOCIATE PTE LTD,,MISCELLANEOUS
NCI8213V,A & J BUILDING PRODUCTS PTY LTD,A & J BUILDING PRODUCTS PTY LTD,VIC,BUILDING / HARDWARE
1331818-1,A & J BUILDING PRODUCTS PTY LTD,A & J BUILDING PRODUCTS PTY LTD,VIC,BUILDING / HARDWARE
NCI5984V,A & K INVESTMENTS (AUSTRALIA) PTY LTD,A & K INVESTMENTS (AUSTRALIA) PTY LTD,VIC,BUILDING / HARDWARE
AU19070200,A & K INVESTMENTS (AUSTRALIA) PTY LTD,A & K INVESTMENTS (AUSTRALIA) PTY LTD,VIC,BUILDING / HARDWARE
NCI8162S,A & L PEVREALL PTY LTD,A & L PEVREALL PTY LTD,SA,BUILDING / HARDWARE
AU25147200,A & L PEVREALL PTY LTD,A & L PEVREALL PTY LTD,SA,BUILDING / HARDWARE
NCI4373S,A 1 NOMINEES PTY. LTD.,A 1 NOMINEES PTY. LTD.,SA,MANUFACTURING
AU23114800,A 1 NOMINEES PTY. LTD.,A 1 NOMINEES PTY. LTD.,SA,MANUFACTURING
NCI7157Q,A 2 Z SHEETMETAL PTY LTD,A 2 Z SHEETMETAL PTY LTD,QLD,OTHER STEEL
AU-63956,A MUSUMECI PTY LTD,A MUSUMECI PTY LTD,NSW,FOOD / PROVISIONS
1418019-1,A PETROU PTY. LIMITED,A PETROU PTY. LIMITED,QLD,FOOD / PROVISIONS
663941,A PLUS PLASTICS & TOOLING PTY LTD,A PLUS PLASTICS & TOOLING PTY LTD,NSW,BUILDING / HARDWARE
AU-88458,A Y C PTY. LTD.,A Y C PTY. LTD.,VIC,BUILDING / HARDWARE
NCI7805V,A. & G. SHEET METAL FABRICATORS PTY. LTD.,A. & G. SHEET METAL FABRICATORS PTY. LTD.,VIC,OTHER STEEL
NCI6116Q,A. A. COMPANY PTY LTD,A. A. COMPANY PTY LTD,QLD,AGRICULTURE
AU24129200,A. A. COMPANY PTY LTD,A. A. COMPANY PTY LTD,QLD,AGRICULTURE
AU-48051,A. RAPTIS & SONS PTY. LTD. (ADMINISTRATORS APPOINTED),A RAPTIS & SONS PTY LTD,QLD,FOOD / PROVISIONS
NCI8159V,A.C.N. 070 073 871 PTY LTD (NMPS FOOD GROUP PTY LTD),A.C.N. 070 073 871 PTY LTD (NMPS FOOD GROUP PTY LTD),VIC,FOOD / PROVISIONS
TW-09436,A.C.N. 070 073 871 PTY LTD (NMPS FOOD GROUP PTY LTD),A.C.N. 070 073 871 PTY LTD (NMPS FOOD GROUP PTY LTD),VIC,FOOD / PROVISIONS
NCI8174N,A.C.N. 649 340 858 PTY LTD (BLITZ SYSTEMS PTY LTD),A.C.N. 649 340 858 PTY LTD (BLITZ SYSTEMS PTY LTD),NSW,BUILDING / HARDWARE
AU24122200,A.C.N. 649 340 858 PTY LTD (BLITZ SYSTEMS PTY LTD),A.C.N. 649 340 858 PTY LTD (BLITZ SYSTEMS PTY LTD),NSW,BUILDING / HARDWARE
NCI8433N,A.C.N. 676 266 863 PTY. LTD. (1000 MILE TRAVEL GROUP),1000 MILE TRAVEL GROUP PTY LTD,NSW,MISCELLANEOUS
P120000501,A.D.A. FASTFIX LIMITED,ADA FASTFIX LIMITED,,MISCELLANEOUS
